City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Ambulu,ID,-8.345,113.6058,76.21,86,100,3.15,overcast clouds
156,Chuncheng,CN,22.1731,111.7886,59.99,85,0,0.38,clear sky
157,Hoopstad,ZA,-27.8327,25.9083,71.92,61,5,5.01,clear sky
158,Langsa,ID,4.4683,97.9683,73.53,88,100,2.24,overcast clouds
159,Marzuq,YE,14.4,46.4667,62.65,58,0,0.74,clear sky
160,Qaqortoq,GL,60.7167,-46.0333,39.2,30,75,23.02,broken clouds
161,Jiangdu,CN,32.4286,119.5574,46.0,94,100,5.86,light rain
162,Quatre Cocos,MU,-20.2078,57.7625,81.0,78,75,11.5,broken clouds
163,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,75,11.5,broken clouds
164,Fort Nelson,CA,58.8053,-122.7002,-14.8,76,75,4.61,light snow
165,Chokurdakh,RU,70.6333,147.9167,-28.17,86,30,10.94,scattered clouds
166,Camacupa,AO,-12.0167,17.4833,64.38,93,100,6.29,overcast clouds
167,Khorixas,NA,-20.3667,14.9667,68.56,52,0,15.5,clear sky
168,Chapais,CA,49.7834,-74.8492,1.4,71,1,4.61,clear sky
169,Tres Arroyos,AR,-38.3739,-60.2798,69.4,40,13,16.28,few clouds
170,Sao Filipe,CV,14.8961,-24.4956,75.54,64,0,9.55,clear sky
171,Lorengau,PG,-2.0226,147.2712,82.26,82,97,8.84,overcast clouds
172,Namatanai,PG,-3.6667,152.4333,79.79,73,100,3.69,overcast clouds
173,Sandakan,MY,5.8402,118.1179,80.01,89,20,11.5,light rain
174,Hasaki,JP,35.7333,140.8333,35.6,55,75,6.91,broken clouds
175,Kutum,SD,14.2,24.6667,62.58,27,0,6.2,clear sky
176,Watertown,US,42.3709,-71.1828,26.01,53,1,0.83,clear sky
177,Kaeo,NZ,-35.1,173.7833,57.99,91,0,1.99,clear sky
178,Kibala,TD,9.1104,18.3463,78.8,38,0,1.7,clear sky
179,San Quintin,MX,30.4833,-115.95,62.01,52,97,2.13,overcast clouds
180,Brigantine,US,39.4101,-74.3646,33.01,86,90,4.61,light snow
181,Lingyuan,CN,41.24,119.4011,18.91,90,0,5.99,clear sky
182,Auki,SB,-8.7676,160.7034,80.13,82,100,12.91,overcast clouds
183,Ogbomosho,NG,8.133,4.25,86.0,30,65,5.75,haze
184,Scarborough,GB,54.2797,-0.4044,37.0,74,100,3.0,overcast clouds
185,Mount Vernon,US,40.9126,-73.8371,25.0,54,90,8.05,overcast clouds
186,Muyezerskiy,RU,63.9333,31.65,7.63,95,98,2.37,overcast clouds
187,Port Lincoln,AU,-34.7333,135.8667,61.56,80,100,11.95,overcast clouds
188,Ilulissat,GL,69.2167,-51.1,8.6,47,75,21.85,broken clouds
189,Portland,US,45.5234,-122.6762,51.01,87,90,14.97,overcast clouds
190,Airai,TL,-8.9266,125.4092,61.41,100,100,4.43,moderate rain
191,Morristown,US,36.214,-83.2949,46.0,100,90,5.75,mist
192,Mackay,AU,-21.15,149.2,78.8,78,40,18.41,scattered clouds
193,East London,ZA,-33.0153,27.9116,73.4,88,0,3.44,clear sky
194,Asfi,MA,32.2994,-9.2372,60.33,77,0,20.29,clear sky
195,Lagoa,PT,39.05,-27.9833,61.99,87,100,27.34,overcast clouds
196,Khatanga,RU,71.9667,102.5,-43.37,80,37,5.97,scattered clouds
197,Ghanzi,BW,-21.5667,21.7833,66.4,91,100,4.72,moderate rain
